,Inactive: less than 30 minutes a week,Fairly active: 30-149 minutes per week,Active: at least 150 minutes a week
Barking and Dagenham ,36.60%,11.50%,51.90%
Barnet ,24.40%,14.00%,61.60%
Bexley ,35.50%,12.10%,52.40%
Brent ,31.40%,12.90%,55.70%
Bromley ,21.80%,9.90%,68.30%
Camden ,25.10%,12.30%,62.60%
City of London ,34.10%,14.60%,51.20%
Croydon ,32.10%,10.00%,57.80%
Ealing ,27.90%,11.30%,60.80%
Enfield ,27.50%,13.90%,58.50%
Greenwich ,23.70%,10.50%,65.80%
Hackney ,20.40%,8.90%,70.70%
Hammersmith and Fulham ,15.40%,10.70%,73.90%
Haringey ,27.10%,8.40%,64.50%
Harrow ,37.20%,15.10%,47.70%
Havering ,37.80%,13.10%,49.20%
Hillingdon ,37.30%,9.10%,53.60%
Hounslow ,30.80%,17.30%,51.80%
Islington ,20.10%,9.20%,70.70%
Kensington and Chelsea ,21.20%,11.90%,67.00%
Kingston upon Thames ,21.90%,13.30%,64.80%
mbeth ,18.50%,12.30%,69.20%
Lewisham ,19.80%,15.90%,64.30%
Merton ,23.00%,13.50%,63.50%
Newham ,36.50%,10.70%,52.80%
Redbridge ,30.60%,13.30%,56.10%
Richmond upon Thames ,20.00%,7.60%,72.40%
Southwark ,23.60%,8.30%,68.10%
Sutton ,29.10%,9.90%,61.00%
Tower Hamlets ,26.10%,12.20%,61.70%
Waltham Forest ,25.70%,13.60%,60.70%
Wandsworth ,17.90%,8.70%,73.30%
Westminster ,25.40%,16.50%,58.10%
,,,
,,,
