Area_code,Area_name,All persons,Age_under_14,Age_15_29,Age_30_44,Age_45_59,Age_60_74,Age_75+,obesity(age18+),respiratory,coronary,TB_incidence,Inactive,Fairly_active,Active,total_cases
E09000002,Barking and Dagenham,218900,53700,43500,53800,40000,19300,8300,64.5155,133.0534,104.4367,20.61,0.366,0.115,0.519,71600
E09000003,Barnet,389300,75100,71900,91100,76000,48900,26300,61.1233,77.4378,88.545,13.3525,0.244,0.14,0.616,132459
E09000004,Bexley,246500,47600,42500,51900,49900,34800,19800,64.6095,88.3333,90.9369,8.8988,0.355,0.121,0.524,85071
E09000005,Brent,339800,60700,74500,82900,65800,38300,17600,55.8951,72.4171,103.4684,32.5362,0.314,0.129,0.557,106510
E09000006,Bromley,330000,61000,50200,72300,70000,48200,28400,58.0292,83.4814,80.1178,5.2376,0.218,0.099,0.683,114402
E09000007,Camden,210100,30300,56000,51500,38500,22700,11200,50.4572,69.9322,74.4765,13.1107,0.251,0.123,0.626,76476
E09000008,Croydon,390800,75600,71400,91400,78900,49400,24000,61.8092,96.406,88.0417,18.0656,0.321,0.1,0.578,130320
E09000009,Ealing,367100,67300,73300,91300,73000,42600,19500,53.0091,89.0166,97.2686,34.1931,0.279,0.113,0.608,124575
E09000010,Enfield,330000,68200,61600,71700,66500,41100,21100,60.8936,85.2081,95.4185,14.5946,0.275,0.139,0.585,100481
E09000011,Greenwich,289100,56000,59000,76700,54700,29800,12900,62.2381,101.0244,98.1277,21.0041,0.237,0.105,0.658,94770
E09000012,Hackney,259200,46800,64200,74100,43500,22600,8000,52.3668,92.0698,116.9748,15.1784,0.204,0.089,0.707,94083
E09000013,Hammersmith and Fulham,183200,26900,48600,47000,34300,18100,8200,46.4355,94.1037,88.8113,10.4775,0.154,0.107,0.739,66427
E09000014,Haringey,264200,45200,55000,70600,53800,27800,11800,49.5499,80.1417,95.4124,15.4227,0.271,0.084,0.645,86990
E09000015,Harrow,261300,48300,48700,61500,48800,35300,18800,52.9619,70.0118,91.4054,29.0593,0.372,0.151,0.477,85794
E09000016,Havering,262000,49400,45400,55900,50600,38800,22200,68.8159,102.1376,89.9348,6.5943,0.378,0.131,0.492,93461
E09000017,Hillingdon,305900,60400,59200,72100,58300,37100,19100,55.7376,98.4429,106.1528,22.5374,0.373,0.091,0.536,106479
E09000018,Hounslow,288200,56000,53800,75000,56200,32800,14500,63.2337,95.9538,115.7913,32.0432,0.308,0.173,0.518,98773
E09000019,Islington,216600,31100,58000,61100,37300,20600,8500,43.9655,94.2158,107.8962,11.4428,0.201,0.092,0.707,78161
E09000020,Kensington and Chelsea,143400,19100,32000,32300,31700,19200,9300,46.4377,60.2549,55.3348,11.7505,0.212,0.119,0.67,47200
E09000021,Kingston upon Thames,168000,30700,31600,38800,34500,21500,10900,57.605,83.2563,89.354,8.9085,0.219,0.133,0.648,63134
E09000022,Lambeth,317600,45700,87000,85400,59100,29100,11400,57.7739,85.7005,101.1995,15.0615,0.185,0.123,0.692,116794
E09000023,Lewisham,300600,54900,62100,82000,59400,29600,12600,51.0185,112.6791,95.2898,15.5927,0.198,0.159,0.643,100605
E09000024,Merton,215200,40000,39100,56300,42600,25200,12100,50.3728,90.2736,89.3621,13.7366,0.23,0.135,0.635,75979
E09000025,Newham,351100,70500,86400,96600,59600,28200,9700,61.2494,103.2656,114.4322,43.1094,0.365,0.107,0.528,111095
E09000026,Redbridge,310300,64300,60000,75900,57500,35400,17000,57.4482,92.7073,97.3248,27.8856,0.306,0.133,0.561,104021
E09000027,Richmond upon Thames,195200,37100,28200,42800,45200,27400,14500,45.5369,71.3055,76.1277,5.4182,0.2,0.076,0.724,70115
E09000028,Southwark,307700,48500,80000,83400,57000,28300,10700,47.9216,88.0469,86.5182,14.311,0.236,0.083,0.681,107320
E09000029,Sutton,209600,41500,33700,48400,43600,27600,14800,62.7852,101.0206,80.3557,11.7242,0.291,0.099,0.61,76688
E09000030,Tower Hamlets,310300,54200,94900,93100,42200,18800,7000,53.5407,115.3687,114.8399,19.2548,0.261,0.122,0.617,110766
E09000031,Waltham Forest,278400,53000,53200,78700,52900,28100,12400,54.6843,96.2663,97.7732,17.2458,0.257,0.136,0.607,93803
E09000032,Wandsworth,327500,51300,84600,92400,55800,29500,13900,49.667,87.6835,88.3886,11.7418,0.179,0.087,0.733,122193
E09000033,Westminster,204300,25000,53400,51100,40600,23200,11100,45.266,65.3385,66.5661,11.1631,0.254,0.165,0.581,71875
