Area_code,Area_name,obesity(age18+),respiratory,coronary,TB_incidence,Active,Females,Populationdensity,housingprice,income,65+(100%),All_persons,total_cases,ln_total_cases,total_cases2,covid0_60,covid_60up,total_case_rate,infection_tate(60-),infection_tate(60+)
E09000002,Barking and Dagenham,64.5155,133.0534,104.4367,20.61,0.519,0.513476473,6064,300000,500.4,0.086797624,218900,71600,11.17885035,27327,65036,6633,32.7089995,34.05026178,24.03253312
E09000003,Barnet,61.1233,77.4378,88.545,13.3525,0.616,0.516054457,4487,533500,520.2,0.144104803,389300,132459,11.79402844,51285,115297,17370,34.0249165,36.70709965,23.09835999
E09000004,Bexley,64.6095,88.3333,90.9369,8.8988,0.524,0.519269777,4069,342500,568.3,0.1663286,246500,85071,11.35124148,35010,72806,12377,34.5115619,37.93955185,22.66842911
E09000005,Brent,55.8951,72.4171,103.4684,32.5362,0.557,0.509417304,7859,499950,540.7,0.11624485,339800,106510,11.57599416,40930,93742,12837,31.3449088,33.01937302,22.96417407
E09000006,Bromley,58.0292,83.4814,80.1178,5.2376,0.683,0.52030303,2198,440000,608.4,0.176666667,330000,114402,11.64747384,47084,98314,16263,34.6672727,38.782643,21.23102153
E09000007,Camden,50.4572,69.9322,74.4765,13.1107,0.626,0.526415992,9647,760000,619.8,0.118039029,210100,76476,11.24473225,31681,68985,7568,36.3998096,39.12932501,22.32440604
E09000008,Croydon,61.8092,96.406,88.0417,18.0656,0.578,0.519447288,4519,365000,564.8,0.135875128,390800,130320,11.77774824,54280,113581,16970,33.3469806,35.79609203,23.11984821
E09000009,Ealing,53.0091,89.0166,97.2686,34.1931,0.608,0.507491147,6609,485000,574.9,0.121220376,367100,124575,11.73266322,47256,109930,14669,33.9348951,36.05444408,23.62153199
E09000010,Enfield,60.8936,85.2081,95.4185,14.5946,0.585,0.522727273,4083,402500,488.2,0.136666667,330000,100481,11.51772393,38828,87209,13391,30.4487879,32.54067164,21.5288916
E09000011,Greenwich,62.2381,101.0244,98.1277,21.0041,0.658,0.513663092,6111,420000,575.4,0.104462124,289100,94770,11.45920818,39740,85513,9365,32.7810446,34.7049513,21.93203065
E09000012,Hackney,52.3668,92.0698,116.9748,15.1784,0.707,0.521990741,13611,530000,579.7,0.079089506,259200,94083,11.45193265,40754,86805,7361,36.2974537,37.97244094,24.05549338
E09000013,Hammersmith and Fulham,46.4355,94.1037,88.8113,10.4775,0.739,0.530567686,11168,777475,710.7,0.103165939,183200,66427,11.10385888,29314,59984,5947,36.2592795,38.25510204,22.6120786
E09000014,Haringey,49.5499,80.1417,95.4124,15.4227,0.645,0.518546556,8924,540000,549.1,0.104844815,264200,86990,11.37354845,36542,78756,8346,32.9258138,35.06500445,21.07570178
E09000015,Harrow,52.9619,70.0118,91.4054,29.0593,0.477,0.507079985,5178,500000,566.7,0.153846154,261300,85794,11.35970435,31522,73202,12735,32.8335247,35.31210806,23.53967428
E09000016,Havering,68.8159,102.1376,89.9348,6.5943,0.492,0.517557252,2332,350000,574.9,0.176335878,262000,93461,11.44529952,36784,79315,14257,35.6721374,39.40139096,23.37206358
E09000017,Hillingdon,55.7376,98.4429,106.1528,22.5374,0.536,0.506047728,2644,415000,559,0.135011442,305900,106479,11.57570306,39152,93459,13185,34.8084341,37.3836,23.46079773
E09000018,Hounslow,63.2337,95.9538,115.7913,32.0432,0.518,0.503122831,5150,395000,522.3,0.117973629,288200,98773,11.50057957,37581,87660,11146,34.2723803,36.37344398,23.56442326
E09000019,Islington,43.9655,94.2158,107.8962,11.4428,0.707,0.523084026,14578,615000,704.2,0.093721145,216600,78161,11.26652608,33679,71747,6529,36.0854109,38.26506667,22.43635386
E09000020,Kensington and Chelsea,46.4377,60.2549,55.3348,11.7505,0.67,0.532775453,11828,1315000,784.3,0.144351464,143400,47200,10.76214917,20022,40993,5938,32.9149233,35.61511729,20.83498219
E09000021,Kingston upon Thames,57.605,83.2563,89.354,8.9085,0.648,0.517857143,4509,487250,616.9,0.144047619,168000,63134,11.05301473,25388,55474,7745,37.5797619,40.9100295,23.90421471
E09000022,Lambeth,57.7739,85.7005,101.1995,15.0615,0.692,0.515428212,11848,518110,663,0.085957179,317600,116794,11.66816698,54014,107579,9301,36.7739295,38.80916306,22.96538336
E09000023,Lewisham,51.0185,112.6791,95.2898,15.5927,0.643,0.5249501,8553,430000,574.9,0.095475715,300600,100605,11.51895724,43976,91196,9537,33.4680639,35.29256966,22.59947494
E09000024,Merton,50.3728,90.2736,89.3621,13.7366,0.635,0.513475836,5720,470000,577.9,0.125929368,215200,75979,11.23821227,30417,67570,8503,35.3062268,37.96067416,22.79616969
E09000025,Newham,61.2494,103.2656,114.4322,43.1094,0.528,0.50014241,9700,390500,519.4,0.071489604,351100,111095,11.61814097,42134,102157,9026,31.6419823,32.62759502,23.81525851
E09000026,Redbridge,57.4482,92.7073,97.3248,27.8856,0.561,0.505639704,5502,420000,581.4,0.122139865,310300,104021,11.55234808,38438,91238,12897,33.5227199,35.40473419,24.61253805
E09000027,Richmond upon Thames,45.5369,71.3055,76.1277,5.4182,0.724,0.518954918,3401,650000,702.5,0.161885246,195200,70115,11.15789203,29809,60777,9441,35.9195697,39.64579256,22.53213252
E09000028,Southwark,47.9216,88.0469,86.5182,14.311,0.681,0.515437114,10655,530000,613.1,0.083847904,307700,107320,11.5835703,47615,98824,8625,34.878128,36.75120863,22.11533707
E09000029,Sutton,62.7852,101.0206,80.3557,11.7242,0.61,0.515744275,4780,367000,543.3,0.151717557,209600,76688,11.24750052,31754,66988,9826,36.5877863,40.0645933,23.17444538
E09000030,Tower Hamlets,53.5407,115.3687,114.8399,19.2548,0.617,0.497905253,15695,490000,690.6,0.055752498,310300,110766,11.61517515,44168,104812,6062,35.6964228,36.85372714,23.49607326
E09000031,Waltham Forest,54.6843,96.2663,97.7732,17.2458,0.607,0.509698276,7173,445000,598.3,0.102011494,278400,93803,11.44895212,37634,84578,9328,33.6936063,35.56686291,23.03204075
E09000032,Wandsworth,49.667,87.6835,88.3886,11.7418,0.733,0.52610687,9559,654000,752.6,0.095572519,327500,122193,11.71335704,55461,112079,10104,37.3108397,39.45054558,23.28105472
E09000033,Westminster,45.266,65.3385,66.5661,11.1631,0.581,0.515418502,9510,1025000,703.5,0.120900636,204300,71875,11.18268378,30113,64198,7565,35.1811062,37.74132863,22.05531585
,,,,,,,,,,,,8791400,3018420,,1229692,,,34.33378074,,
